,ID,eth
1129,HG00234,GBR
1130,HG00325,FIN
1131,HG00239,GBR
1132,HG00332,FIN
1133,HG00246,GBR
1134,HG00337,FIN
1135,HG00253,GBR
1136,HG00344,FIN
1137,HG00258,GBR
1138,HG00349,FIN
1139,HG00260,GBR
1140,HG00351,FIN
1141,HG00265,GBR
1142,HG00356,FIN
1143,HG00272,FIN
1144,HG00368,FIN
1145,HG00277,FIN
1146,HG00375,FIN
1147,HG00284,FIN
1148,HG00382,FIN
1149,HG00479,CHS
1150,HG00407,CHS
1152,HG00419,CHS
1153,HG00513,CHS
1154,HG00421,CHS
1155,HG00525,CHS
1156,HG00553,PUR
1157,HG00537,CHS
1158,HG00560,CHS
1159,HG00565,CHS
1160,HG00551,PUR
1162,HG00556,CHS
1163,HG00584,CHS
1164,HG00589,CHS
1165,HG00099,GBR
1166,HG00102,GBR
1167,HG00596,CHS
1168,HG00107,GBR
1169,HG00114,GBR
1170,HG00611,CHS
1171,HG00119,GBR
1172,HG00121,GBR
1173,HG00250,GBR
1174,HG00126,GBR
1175,HG00255,GBR
1176,HG00133,GBR
1177,HG00262,GBR
1178,HG00138,GBR
1179,HG00267,FIN
1180,HG00140,GBR
1181,HG00274,FIN
1182,HG00145,GBR
1183,HG00281,FIN
1184,HG00304,FIN
1185,HG00306,FIN
1186,HG00309,FIN
1187,HG00313,FIN
1188,HG00311,FIN
1189,HG00323,FIN
1190,HG00445,CHS
1191,HG00328,FIN
1192,HG00452,CHS
1193,HG00330,FIN
1194,HG00457,CHS
1195,HG00335,FIN
1196,HG00464,CHS
1197,HG00342,FIN
1198,HG00476,CHS
1199,HG00359,FIN
1200,HG00534,CHS
1201,HG00361,FIN
1202,HG00096,GBR
1203,HG00366,FIN
1204,HG00729,CHS
1205,HG00373,FIN
1206,HG00731,PUR
1207,HG00378,FIN
1208,HG00736,PUR
1209,HG00380,FIN
1210,HG00743,PUR
1211,HG00844,CDX
1212,HG00599,CHS
1213,HG00851,CDX
1214,HG00607,CHS
1216,HG00614,CHS
1217,HG01082,PUR
1218,HG00619,CHS
1219,HG01094,PUR
1220,HG00626,CHS
1221,HG01102,PUR
1222,HG01107,PUR
1223,HG00436,CHS
1224,HG01119,CLM
1225,HG00443,CHS
1226,HG01121,CLM
1227,HG00448,CHS
1228,HG01133,CLM
1229,HG00638,PUR
1230,HG01140,CLM
1231,HG00640,PUR
1232,HG01164,PUR
1233,HG00657,CHS
1234,HG01171,PUR
1235,HG01176,PUR
1236,HG00671,CHS
1237,HG01183,PUR
1238,HG01188,PUR
1239,HG00683,CHS
1240,HG01190,PUR
1241,HG00690,CHS
1242,HG00623,CHS
1243,HG01326,PUR
1244,HG00628,CHS
1245,HG01345,CLM
1247,HG01357,CLM
1248,HG00654,CHS
1249,HG01369,CLM
1251,HG01241,PUR
1252,HG01112,CLM
1253,HG01253,CLM
1254,HG01124,CLM
1255,HG01131,CLM
1256,HG01260,CLM
1257,HG01136,CLM
1258,HG01272,CLM
1259,HG01148,CLM
1260,HG01277,CLM
1261,HG01354,CLM
1262,HG01162,PUR
1263,HG01359,CLM
1264,HG01167,PUR
1265,HG01066,PUR
1266,HG01366,CLM
1267,HG01073,PUR
1268,HG01378,CLM
1269,HG01080,PUR
1270,HG01085,PUR
1271,HG01392,PUR
1272,HG01092,PUR
1273,HG01049,PUR
1274,HG01097,PUR
1275,HG01051,PUR
1276,HG01105,PUR
1277,HG01063,PUR
1278,HG01174,PUR
1279,HG01198,PUR
1280,HG01070,PUR
1281,HG01075,PUR
1282,HG01251,CLM
1283,HG01256,CLM
1284,HG00692,CHS
1285,HG00708,CHS
1286,HG00705,CHS
1287,HG00734,PUR
1288,HG00717,CHS
1289,HG00739,PUR
1290,HG01284,CLM
1291,HG01311,PUR
1293,HG01323,PUR
1294,HG01028,CDX
1295,HG01342,CLM
1296,HG01047,PUR
1298,HG01054,PUR
1299,HG01599,KHV
1300,HG01061,PUR
1301,HG01602,IBS
1302,HG01383,CLM
1303,HG01607,IBS
1304,HG01390,CLM
1305,HG01395,PUR
1306,HG01619,IBS
1307,HG01403,PUR
1308,HG01626,IBS
1309,HG01275,CLM
1310,HG01486,CLM
1311,HG01302,PUR
1312,HG01504,IBS
